Unit,Station_Lat,Station_Long,Sun_Norm,Mon_Norm,Tues_Norm,Wed_Norm,Thurs_Norm,Fri_Norm,Sat_Norm
R059,40.675219,-73.971012,1,7.559034327,8.183704263,7.973217654,10,4.248962656,2.106752169
R060,40.672013,-73.96436,1,7.859786876,9.040942232,10,9.95961862,5.002804262,1
R061,40.669735,-73.950455,1,9.344918033,9.793442623,8.990819672,10,5.479344262,2.729180328
R062,40.669279,-73.932967,1,8.571194298,9.258065533,10,9.673594248,6.435365354,2.281497367
R063,40.664591,-73.922668,1,9.530774801,9.779352436,10,9.993482983,5.133650564,3.213923658
R064,40.661466,-73.916316,1,9.061611374,9.870099095,9.406721241,10,4.494722103,2.966932357
R065,40.662541,-73.908763,1,8.452433024,9.910196829,9.664160744,10,5.295790049,2.868644068
R066,40.663419,-73.902454,1,10,9.926924326,9.754465736,9.815849302,5.77330302,2.028905489
R067,40.664884,-73.894258,1,8.563754889,9.28422425,8.092046936,10,5.918904824,2.898565841
R068,40.665405,-73.889451,1,1.836312238,2.115356557,2.034652562,2.178825461,10,1.390114901
R069,40.666252,-73.884087,1,8.625203441,9.868170193,10,9.403627063,4.886886771,2.748314346
R070,40.643738,-74.073622,1,9.23800457,9.896039604,9.989718203,10,7.058263519,1.588347296
R072,#N/A,#N/A,1,8.97618472,9.732894101,9.862367021,10,7.133099613,2.444330271
R079,40.764909,-73.973372,1,8.689123071,9.273767407,9.493263079,10,6.330222055,2.183515243
R080,40.764755,-73.980646,1,8.298794105,9.513175525,9.790531487,10,6.049575703,2.755247879
R081,40.760139,-73.984112,1,8.916350693,9.925481699,9.840516908,10,6.771337925,1.89213031
R082,40.745574,-73.988682,1,8.952765999,9.788778227,10,9.781678335,7.450251454,2.92762055
R083,40.741006,-73.989315,1,8.518337408,9.380195599,8.526589242,10,6.147310513,2.877750611
R084,40.76811,-73.981891,1,8.405633932,9.242727816,9.491912136,10,5.351936951,2.000459538
R085,40.730348,-73.992705,1,6.662006579,8.460526316,7.498355263,10,3.972861842,2.366776316
R086,40.724332,-73.997684,1,5.368191721,8.05664488,8.37037037,10,5.433551198,4.165577342
R087,40.713086,-74.007232,1,9.277125411,10,9.017144199,9.486378581,5.652184124,1.982855801
R088,40.710662,-74.011052,1,8.666314343,9.378818307,10,9.744107388,6.728569919,2.320367826
R089,40.692182,-73.985935,1,9.64028777,10,9.517985612,9.082733813,7.212230216,3.100719424
R090,40.753076,-73.93271,1,7.842342342,9.22972973,9.603603604,10,6.790540541,2.504504505
R091,40.756977,-73.929373,1,8.884318056,10,9.914273882,9.914273882,6.633075649,3.331998896
R092,40.761959,-73.925382,1,8.201791243,9.733303848,10,9.203892083,6.69714728,3.628151261
R093,40.766843,-73.921423,1,7.659375664,9.711403695,9.736886812,10,6.178806541,2.664047568
R094,40.770426,-73.917614,1,8.455992509,9.470037453,9.260299625,10,6.047752809,2.769662921
R095,40.774984,-73.912067,1,8.774912004,9.800643282,9.53192135,10,5.64692317,2.482886273
R096,40.747647,-73.883786,1,9.955032638,9.978241599,9.350511725,10,6.797888629,3.041663309
R097,40.749143,-73.869452,1,8.379793932,9.342644533,9.704808243,10,4.49129937,9.378706354
R098,40.650494,-73.962836,1,8.437235749,9.175535792,9.111240706,10,5.976089809,2.266219566
R099,40.690612,-73.981848,1,6.045884924,8.728332119,8.982520029,10,5.388929352,2.418062637
R100,40.711353,-73.88958,1,8.895407179,9.524121961,10,9.704747202,6.844268622,2.319953686
R101,40.824787,-73.944232,1,7.748841467,8.915098118,9.097373992,10,3.992619715,4.089421592
R102,40.811056,-73.952386,1,8.861896257,9.958766889,9.751203603,10,6.5954729,3.996039758
R103,40.678848,-73.904139,1,7.682463162,9.268146262,9.083954884,10,4.582317628,3.123521921
R104,40.833773,-73.91843,1,7.881512071,8.13452986,9.543996188,10,5.808767471,3.458703939
R105,40.738007,-73.998381,1,7.89468196,9.925964546,9.959332638,10,4.818561001,2.540145985
R106,40.834255,-73.851222,1,8.998161976,9.390005744,9.800459506,10,6.11774842,3.065709362
R107,40.839892,-73.842952,1,9.355521936,9.986384266,9.933736762,10,6.76580938,3.019667171
R108,40.692404,-73.990151,1,8.795445877,9.696544359,9.165840262,10,6.370890228,2.274582348
R109,40.650843,-73.949575,1,9.14516129,9.624423963,9.115207373,10,7.585253456,2.961981567
R110,40.632836,-73.947642,1,9.881068369,9.67394591,9.841760457,10,6.466319503,2.375272972
R111,40.745924,-73.998005,1,8.589735634,9.245438749,10,9.967047288,6.75946382,2.136589301
R112,40.862803,-73.901034,1,8.754906654,8.189803734,9.570607946,10,6.282671135,3.454284347
R113,40.762877,-73.98159,1,8.53453596,9.462378353,9.649655827,10,6.364823166,1.610253976
R114,40.707564,-73.803326,1,9.041509434,9.533018868,10,9.999056604,6.421698113,2.227358491
R115,40.710459,-73.7936,1,9.371308017,9.642194093,10,9.929113924,6.411814346,2.824472574
R116,40.761675,-73.983908,1,8.569794645,9.574213673,9.734858331,10,6.07668313,1.872628022
R117,40.889185,-73.898549,1,8.713249127,9.818597151,9.632356893,10,6.281241602,3.026874496
R118,40.718233,-74.000323,1,9.876913656,9.553582364,10,9.9044703,7.642988365,2.37966932
R119,40.862941,-73.901199,1,8.530239635,9.4511221,10,9.932674021,6.138455687,4.689235451
R120,40.829495,-73.874559,1,7.619037808,9.436283095,10,9.472442567,5.777686206,3.026784794
R121,40.750508,-73.940177,1,7.714668709,8.848716967,9.315204902,10,6.100344696,3.297970126
R122,40.748541,-73.876791,1,8.825217305,9.911991308,9.810203477,10,7.629988147,3.149990122
